"V1","V2","V3","V4","V5","V6","peakTF"
461,875,6344,12372,0.203384771961262,1.06263195855672,"CTCF_bonchial"
374,875,5107,12372,0.190151025071078,1.06683809004295,"CTCF_GM09237"
647,875,9357,12372,0.893237591710592,0.908019271791668,"CTCF_prostate"
430,875,6469,12372,0.975357654857272,0.873337779151726,"CTCF_ascending-aorta"
344,875,5524,12372,0.99958428071455,0.790048596498685,"CTCF_HUDEP-2"
370,875,5220,12372,0.49031509423949,1.00413999056425,"CTCF_epithelial"
626,875,9390,12372,0.999080684210111,0.78400814685231,"CTCF_nerve"
163,875,2369,12372,0.671253499596606,0.964182365010147,"CTCF_esophagus-squamous-epithelium"
370,875,5318,12372,0.679821894805214,0.969739310123694,"CTCF_stomach"
448,875,6072,12372,0.102570684902817,1.09562113560234,"CTCF_HCT-116"
34,875,299,12372,0.00403684298520834,1.71344192345151,"AFF4_HCT-116"
374,875,6109,12372,0.999980607483782,0.750041994567421,"AFF4_MCF-7"
140,875,1993,12372,0.551533040505243,0.991339742406514,"FOS_CD4"
314,875,4693,12372,0.908656005991844,0.90979816850258,"FOS_myometrium"
599,875,9493,12372,0.999999997665228,0.635203018946065,"TCF12_A-549"
445,875,7301,12372,0.999999819742929,0.70057518620743,"CUX1_Hep-G2"
98,875,1680,12372,0.987006527084082,0.790495951445657,"CUX1_MCF-7"
39,875,724,12372,0.974681110312408,0.736348621900987,"HSF1_SW620"
541,875,8421,12372,0.999978159220173,0.743480232144248,"STAG1_MCF-7"
454,875,6529,12372,0.719197506017836,0.962458141636338,"STAG1_Hep-G2"
418,875,7100,12372,0.999999998797421,0.659134983270568,"MBD2_MCF-7"
218,875,2924,12372,0.188120749037371,1.07795885199544,"FOSL1_K-562"
339,875,6098,12372,0.999999999968488,0.630184590418764,"NFYB_K-562"
290,875,4564,12372,0.992528009266875,0.837804875601627,"RXRA_GM12878"
130,875,1715,12372,0.201501830000544,1.09125094115908,"CDK9_P493-6"
210,875,2502,12372,0.00260602682117927,1.26822963569743,"FOSL1_143B"
185,875,2803,12372,0.875618662331992,0.909328340182162,"ZEB1_RKO"
424,875,6621,12372,0.999165418710571,0.804068965603414,"ZNF609_Hep-G2"
316,875,4743,12372,0.925254200350365,0.902774011571442,"JUND_Kasumi-1"
261,875,3748,12372,0.635057472545722,0.976457395065,"JUND_liver"
183,875,3236,12372,0.999920812414317,0.731466190847076,"ZXDC_MCF-7"
424,875,5892,12372,0.316567205665606,1.03659805524179,"CTBP2_WA01"
503,875,7389,12372,0.924200625151547,0.905435047056616,"TRIM28_AF22"
156,875,2175,12372,0.435405883926983,1.01853479010558,"ZMYM3_Hep-G2"
315,875,5030,12372,0.998468758667175,0.809107376075137,"HDGF_K-562"
237,875,3337,12372,0.482381651780637,1.00621302016841,"FOS_MNNG-HOS"
365,875,5472,12372,0.944186447840458,0.895510083239774,"BRD4_HCT-116"
551,875,8597,12372,0.999991943347607,0.729414313008362,"BRD4_Jurkat"
337,875,4556,12372,0.149610716742552,1.08055509936985,"BRD4_402-91"
597,875,9113,12372,0.999913916901866,0.751737979437587,"BRD4_COLO-741"
648,875,9441,12372,0.951167117134481,0.877872421728472,"BRD4_HCC1395"
170,875,2083,12372,0.0201114726545009,1.2080490866943,"BRD4_P493-6"
264,875,4081,12372,0.970206858829664,0.869356698303821,"BRD4_MDA-MB-436"
608,875,8971,12372,0.982211294363242,0.853382655239828,"BRD4_HCC1937"
279,875,4229,12372,0.936644664077025,0.894400834610863,"BRD4_HAP1"
165,875,3487,12372,0.999999999984487,0.571914748044836,"TOP1_LNCaP"
458,875,6728,12372,0.901519289000388,0.915625166453236,"ZNF3_K-562"
365,875,5814,12372,0.999497896737527,0.794376723767071,"HDAC8_K-562"
452,875,7234,12372,0.999989550518791,0.742915420054573,"PAF1_HCT-116"
83,875,1725,12372,0.999985720563901,0.629004548579354,"SETX_A-549"
119,875,2050,12372,0.994616197620548,0.779799592589879,"MAFF_GM12878"
111,875,1895,12372,0.990242076839147,0.791037139694454,"BMI1_MCF-7"
59,875,1296,12372,0.999969314155119,0.599730415032381,"YAP1_hiPSC"
399,875,5210,12372,0.0166803383907453,1.16490372784953,"ZNF335_HEK293"
437,875,6936,12372,0.999929491419588,0.767309280997552,"ZNF394_HEK293"
303,875,4498,12372,0.872749610469304,0.922049345104815,"NFE2L2_A-549"
61,875,1042,12372,0.955034762826471,0.803330472143796,"MAFF_K-562"
323,875,5910,12372,0.999999999992532,0.619001268538208,"ZEB1_HEK293"
294,875,5130,12372,0.999999691532281,0.697007321328176,"SETDB1_K-562"
93,875,1495,12372,0.924609235052168,0.856327406324244,"MAFK_K-562"
92,875,1362,12372,0.70257513318924,0.946166978567889,"MAFK_Hep-G2"
38,875,513,12372,0.406602213112853,1.05348903995693,"MAFK_WA01"
11,875,205,12372,0.866467198450339,0.741767396646986,"MAFK_MCF-7"
188,875,1573,12372,3.80977177523322e-14,1.99785463136133,"JARID2_AMIPS6"
488,875,6038,12372,1.09723581456487e-05,1.35114101484472,"JARID2_MRC-5"
84,875,1076,12372,0.1778819391332,1.12453182383915,"TAF15_K-562"
561,875,8375,12372,0.991090685980073,0.842120299386051,"ZNF189_HEK293"
110,875,1693,12372,0.852142755578211,0.900550337287104,"ZNF189_HEK293T"
31,875,269,12372,0.00483407327916681,1.73746806655078,"BACH1_AsPC-1"
254,875,3014,12372,0.000593847785942531,1.29474946644099,"NFKB1_MCF10A-Er-Src"
164,875,2144,12372,0.136122428478677,1.10869983547335,"NFKB1_CD4"
102,875,956,12372,1.30797381406531e-05,1.64438947663942,"NFKB1_CD4-pos"
293,875,5011,12372,0.999996017987485,0.723375643016961,"SREBF1_K-562"
154,875,2610,12372,0.996738761622729,0.786294561426491,"GLI4_HEK293"
47,875,1052,12372,0.999897918000566,0.592619305975767,"ZSCAN18_HEK293"
79,875,790,12372,0.000964936015121336,1.50551742126504,"EBF1_GM12878"
148,875,2404,12372,0.978361285223491,0.833901172666643,"EBF1_LCL"
60,875,1015,12372,0.94461571994569,0.812682146026371,"EBF1_ASC"
253,875,4109,12372,0.997916107576236,0.806058455020883,"RUNX1_K-562"
337,875,4672,12372,0.329398893770732,1.03491022359232,"KDM1A_pancreatic-progenitor"
421,875,6907,12372,0.999999142726793,0.71645900016241,"ZNF24_HEK293"
209,875,3047,12372,0.714121189982559,0.957501787895746,"RELA_AC16"
71,875,762,12372,0.00951941094744588,1.38093970080396,"RELA_Huh-7"
62,875,448,12372,2.21838955133332e-07,2.19496992228914,"RELA_GM19193"
91,875,1674,12372,0.998393195785455,0.726950501358993,"ZNF280D_HEK293"
160,875,2657,12372,0.993122239241954,0.806581220796329,"ZNF146_HEK293"
368,875,5407,12372,0.854060586378148,0.930222451011708,"REST_CD4"
439,875,7030,12372,0.999982528830655,0.749496672284986,"ZNF35_HEK293"
256,875,4116,12372,0.996243783092391,0.818231490225552,"PRDM4_HEK293"
468,875,7466,12372,0.99999177405486,0.739287181134234,"ZBTB11_HEK293"
393,875,4735,12372,1.85934795508133e-05,1.34352154224544,"STAG2_HCAEC"
326,875,5938,12372,0.999999999987411,0.622720600383112,"SMARCC1_Hep-G2"
327,875,4605,12372,0.475374935957503,1.00694026332273,"SMARCC1_MCF-7"
169,875,2168,12372,0.0820120058116195,1.13738639211318,"NR3C1_U2OS"
117,875,1521,12372,0.169853186977286,1.10963082521574,"NR3C1_IMR-90"
115,875,1465,12372,0.1194680010081,1.13728734566667,"NR3C1_MDA-MB-231"
321,875,4823,12372,0.931141869196076,0.900264765029837,"NR3C1_SUM159PT"
156,875,2291,12372,0.720425171444351,0.951386256570259,"MBD3_HEK293T"
191,875,3068,12372,0.98512416686965,0.836669700176954,"TRIM28_hESC"
312,875,4080,12372,0.0440996453622735,1.13671383118162,"SMC1A_Hep-G2"
380,875,4693,12372,0.000317551470298544,1.27864219086557,"SMC1A_A-549"
224,875,3799,12372,0.999754574506994,0.762474154547118,"HSF1_GM12878"
133,875,2480,12372,0.999945612387218,0.698835711551805,"PRPF4_Hep-G2"
310,875,5137,12372,0.999942890453343,0.758179014170955,"PRPF4_K-562"
290,875,3774,12372,0.0434019648737421,1.14011960962073,"NFE2L2_IMR-90"
52,875,661,12372,0.226625158934299,1.12959710931147,"SMARCB1_TTC-1240"
495,875,6328,12372,0.000484591162140336,1.26486306291929,"SMARCB1_hiPSC"
284,875,4535,12372,0.99682729516018,0.819132128196485,"STAT3_HCC1937"
124,875,2002,12372,0.959253962161937,0.845711485749582,"STAT3_TMD8"
63,875,767,12372,0.116345790134899,1.18945297867544,"STAT3_HeLa-S3"
130,875,1304,12372,2.35480846942933e-05,1.53428556935789,"STAT3_HCC1143"
446,875,6704,12372,0.977965061105259,0.870354225397103,"EP300_A-549"
250,875,3232,12372,0.048383714707114,1.14215660839562,"EP300_SK-N-SH"
233,875,3167,12372,0.245941438233009,1.05922071075833,"MED1_A-549"
437,875,6373,12372,0.84090900621334,0.934716932342674,"MED1_HUVEC-C"
298,875,5456,12372,0.999999999859507,0.634741351226502,"ZFX_LNCaP-C4-2B"
355,875,6157,12372,0.99999999379303,0.670128547638262,"ZFX_PrEC"
259,875,3146,12372,0.00211209491455505,1.25393622938622,"FOSL2_NPC"
520,875,7765,12372,0.983972009958656,0.859682198483483,"FOSL2_A-549"
527,875,7985,12372,0.997313822552869,0.820155558251479,"RAD21_hiPSC"
353,875,5015,12372,0.561176597505738,0.991449603029218,"RAD21_SLK"
105,875,1561,12372,0.731123088874665,0.940391689536836,"RAD21_LoVo"
299,875,4013,12372,0.135829777339846,1.08780196325606,"RAD21_HeLa-Tet-On"
304,875,4456,12372,0.802346779063811,0.941827099512159,"RAD21_K-562"
329,875,4207,12372,0.0113380835071101,1.18381074798778,"BRD4_MDA-MB-157"
486,875,7739,12372,0.999995479791446,0.731085183905247,"BRD4_keratinocyte"
446,875,5982,12372,0.0577904051162934,1.11942842910009,"BRD4_MCF-10A"
240,875,3866,12372,0.995216514989173,0.820461498618553,"YY1AP1_MCF-7"
399,875,5555,12372,0.345471893127096,1.03089581853682,"SMARCA4_MCF-10A"
320,875,4655,12372,0.758784033030225,0.952580293135254,"SMARCA4_HS-SY-2"
112,875,1131,12372,0.000122157776578655,1.50931324848592,"SMARCA4_SYO-1"
355,875,5139,12372,0.737609280084219,0.957963975786681,"SMARCA4_NCI-H1703"
120,875,1748,12372,0.657913455908227,0.963497898193187,"TP53_U2OS"
348,875,4862,12372,0.396157339536223,1.02153270604228,"RXRA_JMSU-1"
163,875,2283,12372,0.459459229490705,1.01259414966371,"MYC_HFF"
474,875,7960,12372,0.999999999944354,0.63333861564383,"MYC_SK-N-SH"
450,875,7798,12372,0.999999999999858,0.597914205867086,"MYC_NB69"
55,875,475,12372,0.000187685177041687,1.76887079973009,"GPS2_hMADS"
295,875,5310,12372,0.999999996790807,0.657426908965241,"USF1_K-562"
265,875,4921,12372,0.999999999399602,0.638319869983914,"NR2C2_K-562"
19,875,476,12372,0.998512682909074,0.536228643978028,"ZNF410_K-562"
312,875,5236,12372,0.999987034377376,0.739780301876171,"TCF3_NPC"
9,875,142,12372,0.68169416293569,0.887985376223247,"NFIX_K-562"
87,875,1797,12372,0.99998795987102,0.631923177949538,"USF2_SK-N-SH"
483,875,7191,12372,0.967847178796728,0.879667196628056,"ZBTB7A_Hep-G2"
247,875,2682,12372,1.29093019542003e-06,1.4636848218528,"FOS_endothelial"
417,875,6972,12372,0.999999965193253,0.686469749756662,"FOS_Hep-G2"
302,875,3982,12372,0.068435638380992,1.11953664337263,"HMGB1_HUVEC-C"
60,875,759,12372,0.19603468487222,1.13723227077042,"GTF2A2_K-562"
449,875,6460,12372,0.721896220083794,0.961924146873155,"KDM5B_MCF-7"
152,875,1873,12372,0.0328920276686288,1.19417002534412,"DDX5_NTERA2"
518,875,8193,12372,0.999997102115858,0.722551946494025,"RBM22_K-562"
395,875,5213,12372,0.0336232337346831,1.1407613454906,"TRIM28_HCT-116"
350,875,6207,12372,0.999999999846449,0.641995212185635,"SIN3B_K-562"
560,875,7608,12372,0.0608183361048948,1.12223056277716,"WDR5_SMMC-7721"
244,875,2757,12372,3.23331750418369e-05,1.38237330930162,"STAG1_HCAEC"
97,875,641,12372,3.22134416268401e-13,2.51003000647324,"JARID2_UTEIPS11"
295,875,4396,12372,0.885582208217641,0.917273760526319,"CTCF_GM12868"
356,875,4866,12372,0.207256355379732,1.06266043090621,"CTCF_choroid-plexus"
548,875,7965,12372,0.876452547555536,0.921866891736793,"CTCF_lung"
307,875,4273,12372,0.374592936511967,1.02635400659022,"CTCF_osteoblast"
472,875,6612,12372,0.39299489752893,1.02185836469512,"CTCF_fibroblast"
353,875,4697,12372,0.071481865286137,1.11351932821889,"CTCF_OVCAR-8"
409,875,6127,12372,0.959237192293136,0.88705470771251,"CTCF_GM04648"
473,875,7134,12372,0.988362456443238,0.854258120200691,"CTCF_HAP1"
