"Run","p","OR","a","b","c","d","tissue"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Pancreas"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Pituitary"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Prostate"
"Run_Up24_Locus",0.46965399886557,2.29969916316068,1,8,3,43,"Skin_Not_Sun_Exposed_Suprapubic"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Skin_Sun_Exposed_Lower_leg"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Small_Intestine_Terminal_Ileum"
"Run_Up24_Locus",0.473504273504273,2.3973983949989,1,5,3,27,"Spleen"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Stomach"
"Run_Up24_Locus",0.52972972972973,1.88947780247726,1,8,3,37,"Testis"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Thyroid"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Uterus"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Vagina"
"Run_Up24_Locus",0.1875,Inf,1,6,1,32,"Whole_Blood"
"Run_Down4_Locus",0.941780197911089,0.463069905810515,4,20,22,71,"Adipose_Subcutaneous"
"Run_Down4_Locus",0.993403436526638,0.157664363694789,1,13,13,47,"Adipose_Visceral_Omentum"
"Run_Down4_Locus",0.537915850861608,1.27596472135277,3,10,9,34,"Adrenal_Gland"
"Run_Down4_Locus",0.618574865636885,1.03266996521983,3,13,12,53,"Artery_Aorta"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Artery_Coronary"
"Run_Down4_Locus",0.814002600166822,0.687582175779235,4,23,16,74,"Artery_Tibial"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Brain_Amygdala"
"Run_Down4_Locus",0.751196172248804,0.87218391117594,1,6,4,22,"Brain_Anterior_cingulate_cortex_BA24"
"Run_Down4_Locus",0.723931623931624,0.94642362694646,1,4,7,27,"Brain_Caudate_basal_ganglia"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Brain_Cerebellar_Hemisphere"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Brain_Cerebellum"
"Run_Down4_Locus",0.366796440489433,2.2635107413184,2,8,5,32,"Brain_Cortex"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Brain_Frontal_Cortex_BA9"
"Run_Down4_Locus",0.147869674185464,6.52396456559277,2,4,4,21,"Brain_Hippocampus"
"Run_Down4_Locus",0.937062937062937,0.338541120150954,1,5,5,14,"Brain_Hypothalamus"
"Run_Down4_Locus",0.61699604743083,1.39562315682422,1,5,4,25,"Brain_Nucleus_accumbens_basal_ganglia"
"Run_Down4_Locus",0.577262960744607,1.25706723382486,2,8,7,32,"Brain_Putamen_basal_ganglia"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Brain_Spinal_cord_cervical_c-1"
"Run_Down4_Locus",0.641025641025641,1.67324694351039,1,5,2,13,"Brain_Substantia_nigra"
"Run_Down4_Locus",0.964250241737778,0.268067936239825,1,12,9,43,"Breast_Mammary_Tissue"
"Run_Down4_Locus",0.720023369139425,0.835331118937012,5,23,18,75,"Cells_Cultured_fibroblasts"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Cells_EBV-transformed_lymphocytes"
"Run_Down4_Locus",0.876768894515165,0.556605851885917,3,18,11,48,"Colon_Sigmoid"
"Run_Down4_Locus",0.959108860074805,0.284478303821491,1,14,9,51,"Colon_Transverse"
"Run_Down4_Locus",0.682415631832305,0.918535025957459,3,11,12,42,"Esophagus_Gastroesophageal_Junction"
"Run_Down4_Locus",0.867169214785512,0.550372108821162,2,13,14,61,"Esophagus_Mucosa"
"Run_Down4_Locus",0.526952866114562,1.15075834897063,6,16,19,54,"Esophagus_Muscularis"
"Run_Down4_Locus",0.701589960078924,0.900455142092241,2,9,9,38,"Heart_Atrial_Appendage"
"Run_Down4_Locus",0.715303386784771,0.860683178323572,3,10,12,37,"Heart_Left_Ventricle"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Kidney_Cortex"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Liver"
"Run_Down4_Locus",0.744002269883866,0.794324026314134,3,14,13,53,"Lung"
"Run_Down4_Locus",0.298245614035088,6.32455709522216,1,2,3,19,"Minor_Salivary_Gland"
"Run_Down4_Locus",0.906437292991455,0.530023499054314,4,21,17,63,"Muscle_Skeletal"
"Run_Down4_Locus",0.868107119220383,0.626961011599933,6,23,23,70,"Nerve_Tibial"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Ovary"
"Run_Down4_Locus",0.653585474018911,1.02166219454701,2,7,11,39,"Pancreas"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Pituitary"
"Run_Down4_Locus",NA,NA,NA,NA,NA,NA,"Prostate"
"Run_Down4_Locus",0.578384284155947,1.05056691388659,5,20,18,74,"Skin_Not_Sun_Exposed_Suprapubic"
